0,183,51
1,213,51
2,244,51
3,275,51
4,305,51
5,183,52
6,335,52
7,153,80
8,487,82
9,214,83
10,243,83
11,273,83
12,304,83
13,182,111
14,152,112
15,456,114
16,486,114
17,212,141
18,243,141
19,273,142
20,182,143
21,151,172
22,304,172
23,212,173
24,242,173
25,334,173
26,425,173
27,456,173
28,273,174
29,182,201
30,394,203
31,151,204
32,302,204
33,364,204
34,243,205
35,333,205
36,455,205
37,212,232
38,272,232
39,181,233
40,425,233
41,485,234
42,394,235
43,303,236
44,151,262
45,243,262
46,211,264
47,271,264
48,333,264
49,363,264
50,454,264
51,181,265
52,424,265
53,485,266
54,150,294
55,241,294
56,302,294
57,394,294
58,272,296
59,363,296
60,454,296
61,425,297
62,180,323
63,211,323
64,333,324
65,485,325
66,241,326
67,302,326
68,393,326
69,455,328
70,151,353
71,272,354
72,180,355
73,210,355
74,363,355
75,424,355
76,332,356
77,484,357
78,149,385
79,241,385
80,270,386
81,302,386
82,393,386
83,454,386
84,181,387
85,210,387
86,362,387
87,423,387
88,332,388
