0,26.3969863186,17.7637783006
1,26.7738124624,17.7637783006
2,27.1631994776,17.7637783006
3,27.5525864928,17.7637783006
4,27.9294126365,17.7637783006
5,26.3969863186,17.7763391721
6,28.3062387803,17.7763391721
7,26.0201601749,18.1280435729
8,30.2154912419,18.1531653158
9,26.7863733338,18.1657261873
10,27.1506386061,18.1657261873
11,27.5274647499,18.1657261873
12,27.9168517651,18.1657261873
13,26.3844254472,18.5174305881
14,26.0075993034,18.5299914596
15,29.8261042267,18.5551132025
16,30.2029303704,18.5551132025
17,26.7612515909,18.8942567318
18,27.1506386061,18.8942567318
19,27.5274647499,18.9068176033
20,26.3844254472,18.9193784748
21,25.995038432,19.283643747
22,27.9168517651,19.283643747
23,26.7612515909,19.2962046185
24,27.1380777347,19.2962046185
25,28.2936779088,19.2962046185
26,29.4367172115,19.2962046185
27,29.8261042267,19.2962046185
28,27.5274647499,19.30876549
29,26.3844254472,19.6479090193
30,29.0473301963,19.6730307622
31,25.995038432,19.6855916337
32,27.8917300221,19.6855916337
33,28.6705040525,19.6855916337
34,27.1506386061,19.6981525052
35,28.2811170373,19.6981525052
36,29.8135433552,19.6981525052
37,26.7612515909,20.0372960345
38,27.5149038784,20.0372960345
39,26.3718645757,20.049856906
40,29.4367172115,20.049856906
41,30.190369499,20.0624177774
42,29.0473301963,20.0749786489
43,27.9042908936,20.0875395204
44,25.995038432,20.4141221783
45,27.1506386061,20.4141221783
46,26.7486907195,20.4392439212
47,27.5023430069,20.4392439212
48,28.2811170373,20.4392439212
49,28.6579431811,20.4392439212
50,29.8009824838,20.4392439212
51,26.3718645757,20.4518047926
52,29.42415634,20.4518047926
53,30.190369499,20.4643656641
54,25.9824775605,20.8160700649
55,27.1255168632,20.8160700649
56,27.8917300221,20.8160700649
57,29.0473301963,20.8160700649
58,27.5149038784,20.8411918078
59,28.6579431811,20.8411918078
60,29.8009824838,20.8411918078
61,29.4367172115,20.8537526793
62,26.3593037043,21.1803353372
63,26.7486907195,21.1803353372
64,28.2811170373,21.1928962087
65,30.190369499,21.2054570801
66,27.1255168632,21.2180179516
67,27.8917300221,21.2180179516
68,29.0347693248,21.2180179516
69,29.8135433552,21.2431396945
70,25.995038432,21.557161481
71,27.5149038784,21.5697223524
72,26.3593037043,21.5822832239
73,26.736129848,21.5822832239
74,28.6579431811,21.5822832239
75,29.42415634,21.5822832239
76,28.2685561659,21.5948440953
77,30.1778086275,21.6074049668
78,25.9699166891,21.9591093676
79,27.1255168632,21.9591093676
80,27.4897821355,21.9716702391
81,27.8917300221,21.9716702391
82,29.0347693248,21.9716702391
83,29.8009824838,21.9716702391
84,26.3718645757,21.9842311105
85,26.736129848,21.9842311105
86,28.6453823096,21.9842311105
87,29.4115954686,21.9842311105
88,28.2685561659,21.996791982
