1,462,11
2,404,13
3,375,14
4,202,20
5,173,22
6,145,23
7,115,25
8,550,36
9,521,37
10,492,38
11,463,39
12,434,40
13,405,41
14,376,42
15,347,43
16,317,45
17,289,46
18,260,47
19,231,48
20,203,49
21,174,50
22,145,52
23,116,53
24,551,65
25,522,66
26,493,67
27,464,68
28,435,69
29,405,70
30,376,71
31,347,72
32,318,73
33,290,74
34,261,75
35,232,76
36,204,77
37,174,79
38,145,80
39,116,81
40,552,93
41,523,94
42,494,95
43,465,96
44,436,97
45,406,99
46,376,100
47,348,101
48,319,102
49,289,103
50,261,104
51,232,105
52,203,106
53,174,107
54,145,109
55,116,110
56,524,123
57,495,124
58,465,125
59,203,135
60,174,136
61,145,137
62,554,151
63,524,152
64,495,153
65,466,154
66,378,157
67,349,158
68,320,159
69,291,160
70,204,163
71,175,164
72,146,166
73,116,167
74,554,180
75,495,182
76,466,183
77,407,185
78,378,186
79,349,187
80,320,188
81,291,189
82,262,190
83,204,192
84,175,193
85,146,194
86,117,195
87,525,210
88,496,211
89,467,212
90,408,214
91,379,215
92,350,216
93,321,217
94,291,218
95,262,219
96,204,221
97,175,222
98,146,223
99,526,239
100,497,240
101,467,241
102,409,243
103,379,244
104,350,245
105,321,246
106,292,247
107,262,248
108,176,250
109,206,250
110,146,252
111,557,267
112,498,269
113,468,270
114,409,272
115,380,273
116,322,274
117,352,274
118,293,275
119,323,275
120,264,276
121,294,276
122,205,278
123,176,279
124,147,280
125,118,281
126,557,297
127,469,299
128,380,302
129,351,303
130,293,304
131,206,307
132,176,308
133,118,310
134,529,326
135,499,327
136,470,328
137,440,329
138,177,337
139,207,337
140,147,339
141,559,355
142,529,356
143,500,357
144,441,358
145,471,358
146,411,359
147,442,359
148,352,361
149,323,362
150,265,363
151,295,363
152,235,365
153,206,366
154,148,367
155,178,367
156,118,369
157,560,384
158,530,385
159,500,386
160,471,387
161,441,388
162,411,389
163,353,390
164,324,391
165,294,392
166,265,393
167,235,394
168,206,395
169,177,396
170,147,397
171,117,398
172,561,414
173,502,415
174,532,415
175,472,416
176,442,417
177,412,418
178,353,420
179,323,421
180,265,422
181,236,423
182,177,425
183,148,426
184,118,427
185,561,444
186,531,445
187,472,446
188,412,448
189,265,449
190,177,455
191,118,456
